airport,operation_category,ops_scenario,feasibility_scenario,adoption_scenario,operation_category_short,label,color
MWH,Itinerant Air Taxi,Medium,Medium,Medium,ItinAirTaxi,MWH_ItinAirTaxi_ops=Medium_feasibility=Medium_adoption=Medium,
MWH,Itinerant Air Taxi,Medium,Medium,Fast,ItinAirTaxi,MWH_ItinAirTaxi_ops=Medium_feasibility=Medium_adoption=Fast,
MWH,Itinerant Air Taxi,Medium,Fast,Slow,ItinAirTaxi,MWH_ItinAirTaxi_ops=Medium_feasibility=Fast_adoption=Slow,
MWH,Itinerant Air Taxi,Medium,Fast,Medium,ItinAirTaxi,MWH_ItinAirTaxi_ops=Medium_feasibility=Fast_adoption=Medium,
MWH,Itinerant Air Taxi,Medium,Fast,Fast,ItinAirTaxi,MWH_ItinAirTaxi_ops=Medium_feasibility=Fast_adoption=Fast,
MWH,Itinerant Air Taxi,High,Slow,Slow,ItinAirTaxi,MWH_ItinAirTaxi_ops=High_feasibility=Slow_adoption=Slow,
MWH,Itinerant Air Taxi,High,Slow,Medium,ItinAirTaxi,MWH_ItinAirTaxi_ops=High_feasibility=Slow_adoption=Medium,
MWH,Itinerant Air Taxi,High,Slow,Fast,ItinAirTaxi,MWH_ItinAirTaxi_ops=High_feasibility=Slow_adoption=Fast,
MWH,Itinerant Air Taxi,High,Medium,Slow,ItinAirTaxi,MWH_ItinAirTaxi_ops=High_feasibility=Medium_adoption=Slow,
MWH,Itinerant Air Taxi,High,Medium,Medium,ItinAirTaxi,MWH_ItinAirTaxi_ops=High_feasibility=Medium_adoption=Medium,
MWH,Itinerant Air Taxi,High,Medium,Fast,ItinAirTaxi,MWH_ItinAirTaxi_ops=High_feasibility=Medium_adoption=Fast,
